Hedgehog,11
Hedgehog,4
Hedgehog,9
Hedgehog,8
Mouse,12
Hedgehog,4
Squirrel,6
Squirrel,7
Squirrel,8
Mouse,9
Mouse,5
Squirrel,1
Hedgehog,1
Mouse,5
Mouse,5
Squirrel,4
Mouse,10
Squirrel,7
Hedgehog,1
Mouse,2
Squirrel,10
Mouse,6
Squirrel,12
Hedgehog,1
Squirrel,1
Mouse,8
Mouse,8
Hedgehog,1
Mouse,1
Mouse,12
Hedgehog,10
Hedgehog,3
Hedgehog,11
Mouse,8
Squirrel,1
Hedgehog,12
Hedgehog,10
Mouse,3
Mouse,9
Squirrel,5
Hedgehog,9
Mouse,5
Hedgehog,9
Mouse,6
Hedgehog,1
Hedgehog,1
Squirrel,4
Hedgehog,3
Squirrel,6
Mouse,5
Squirrel,8
Squirrel,12
Squirrel,5
Mouse,3
Squirrel,8
Squirrel,12
Squirrel,4
Hedgehog,4
Hedgehog,12
Squirrel,10
Squirrel,8
Mouse,9
Hedgehog,4
Hedgehog,6
Squirrel,2
Squirrel,9
Squirrel,12
Squirrel,2
Mouse,2
Squirrel,1
Mouse,7
Squirrel,4
Hedgehog,2
Squirrel,1
Hedgehog,11
Mouse,1
Squirrel,2
Squirrel,4
Hedgehog,10
Squirrel,5
Hedgehog,4
Mouse,4
Hedgehog,7
Squirrel,11
Hedgehog,9
Squirrel,6
Mouse,1
Mouse,3
Mouse,9
Mouse,12
Hedgehog,1
Mouse,6
Squirrel,7
Hedgehog,3
Hedgehog,4
Squirrel,12
Hedgehog,2
Squirrel,5
Squirrel,3
Squirrel,1
